[[34m2026-04-24 01:37:52[0m] (step=0000320) Train Loss mse: 0.2146, Train Loss ce: 0.0439, Train Steps/Sec: 0.17, Tokens/Sec: 31.52k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23231, Sample Lens: [5814, 5804, 5805, 5808], ETA: 7.67h, 
[[34m2026-04-24 01:38:51[0m] (step=0000330) Train Loss mse: 0.2409, Train Loss ce: 0.0474, Train Steps/Sec: 0.17, Tokens/Sec: 31.47k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23233, Sample Lens: [5803, 5813, 5803, 5814], ETA: 7.66h, 
[[34m2026-04-24 01:39:50[0m] (step=0000340) Train Loss mse: 0.2508, Train Loss ce: 0.0351, Train Steps/Sec: 0.17, Tokens/Sec: 31.45k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23240, Sample Lens: [5809, 5816, 5811, 5804], ETA: 7.65h, 
[[34m2026-04-24 01:40:49[0m] (step=0000350) Train Loss mse: 0.2140, Train Loss ce: 0.0322, Train Steps/Sec: 0.17, Tokens/Sec: 31.60k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23247, Sample Lens: [5814, 5808, 5815, 5810], ETA: 7.60h, 
[[34m2026-04-24 01:41:48[0m] (step=0000360) Train Loss mse: 0.2274, Train Loss ce: 0.0357, Train Steps/Sec: 0.17, Tokens/Sec: 31.52k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23239, Sample Lens: [5818, 5805, 5813, 5803], ETA: 7.60h, 
[[34m2026-04-24 01:42:47[0m] (step=0000370) Train Loss mse: 0.2318, Train Loss ce: 0.0316, Train Steps/Sec: 0.17, Tokens/Sec: 31.53k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23239, Sample Lens: [5815, 5805, 5803, 5816], ETA: 7.58h, 
[[34m2026-04-24 01:43:46[0m] (step=0000380) Train Loss mse: 0.2305, Train Loss ce: 0.0387, Train Steps/Sec: 0.17, Tokens/Sec: 31.62k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23243, Sample Lens: [5811, 5816, 5808, 5808], ETA: 7.54h, 
[[34m2026-04-24 01:44:44[0m] (step=0000390) Train Loss mse: 0.2192, Train Loss ce: 0.0359, Train Steps/Sec: 0.17, Tokens/Sec: 31.65k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23238, Sample Lens: [5813, 5808, 5814, 5803], ETA: 7.52h, 
[[34m2026-04-24 01:45:43[0m] (step=0000400) Train Loss mse: 0.2421, Train Loss ce: 0.0384, Train Steps/Sec: 0.17, Tokens/Sec: 31.51k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23239, Sample Lens: [5817, 5803, 5816, 5803], ETA: 7.54h, 
[[34m2026-04-24 01:46:42[0m] (step=0000410) Train Loss mse: 0.1990, Train Loss ce: 0.0268, Train Steps/Sec: 0.17, Tokens/Sec: 31.64k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23241, Sample Lens: [5804, 5817, 5804, 5816], ETA: 7.49h, 
